Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
right_hand_link,-0.00262279334965249,1.46813910362051E-07,0.0149884055957892,0,0,0,0.0154987856424255,6.87034761429936E-06,3.43030608012236E-10,-7.05217768111063E-07,4.80811431661866E-06,-1.75996486881362E-10,9.99312731418581E-06,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_link.STL,,R1-1,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
right_hand_ee_link,-3.45924137720922E-17,-4.87109193722268E-18,0,0,0,0,3.18086256175966E-07,1.10054531238382E-13,1.13246048313947E-29,-1.28062277190209E-45,8.05155835945415E-15,1.66628775326769E-44,1.10054531238382E-13,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_ee_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_ee_link.STL,,固定块-1,h1,a1,right_hand_ee_joint,fixed,0,0,0.055,0,0,0,right_hand_link,0,0,0,,,,,,,0,0,,,,
right_hand_light_link,-0.0183865507256068,8.38941239751447E-06,-0.0148986861134992,0,0,0,0.00283726504518699,4.61866247583606E-07,-7.31104601487445E-11,6.17729058063445E-09,7.35384419707841E-08,4.60271925110106E-12,4.04387230946436E-07,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_light_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_light_link.STL,,R2-1,h1,a1,right_hand_light_joint,fixed,0,0,0.055,0,0,0,right_hand_link,0,0,0,,,,,,,0,0,,,,
right_hand_dorsum_link,-0.012040002901393,-0.000369914994062156,0.00948736278884796,0,0,0,0.0246816523715763,3.71455594022347E-05,7.4929164845113E-07,-9.64179716212919E-07,1.53635851612526E-05,1.36399242303355E-06,2.34616343035969E-05,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_dorsum_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_dorsum_link.STL,,R3-1,h1,a1,right_hand_dorsum_joint,fixed,0,0,0.055,0,0,0,right_hand_link,0,0,0,,,,,,,0,0,,,,
right_hand_palm_link,0.00799748261577538,0.0113290888340896,-0.00315968348545233,0,0,0,0.0785975090767004,0.000101214136054299,6.35898133686407E-07,3.06753097304121E-06,7.98091226943158E-05,5.84961481846721E-06,3.70534764167902E-05,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_palm_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_palm_link.STL,,R4-1,h1,a1,right_hand_palm_joint,fixed,0,0,0.055,0,0,0,right_hand_link,0,0,0,,,,,,,0,0,,,,
right_hand_thumb_bend_link,0.00301003596008698,0.0112336071484652,0.000800179555045841,0,0,0,0.00264577949464756,1.61291155474717E-07,8.41385625880238E-09,4.8797466100916E-09,1.32144702380678E-07,1.82114622976867E-08,1.62652287218455E-07,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_thumb_bend_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_thumb_bend_link.STL,,Z1-1,rt1,b1,right_hand_thumb_bend_joint,revolute,0.020417,0.028872,0.035928,0.61087,0,0,right_hand_link,0,0,-1,0.295,2,0,1.309,,,0,0,,,,
right_hand_thumb_rota_link1,2.60266752367955E-06,0.0165208186982079,-0.00460074294999319,0,0,0,0.0167189407901081,3.49317069720355E-06,-6.75852484306074E-10,-2.99341784315757E-10,1.17770547018503E-06,1.02018645287618E-07,2.97070103260245E-06,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_thumb_rota_link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_thumb_rota_link1.STL,,Z2-1,rt2,b2,right_hand_thumb_rota_joint1,revolute,0.0060305,0.022506,0.0055,0,0,-0.2618,right_hand_thumb_bend_link,1,0,0,0.884,1.696,0,1.745,,,0,0,,,,
right_hand_thumb_rotaback_link1,-1.13064719754058E-06,-0.0153903282476076,-0.0199604382823699,0,0,0,0.00148469787245873,3.34383583210907E-07,7.27266006376939E-11,-1.35250762971777E-11,4.24615138914836E-08,1.5747834171256E-08,3.65710624323248E-07,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_thumb_rotaback_link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_thumb_rotaback_link1.STL,,Z3-1,rt3,b3,right_hand_thumb_rotaback_joint1,fixed,0,0.0345,0,0,0,0,right_hand_thumb_rota_link1,0,0,0,,,,,,,0,0,,,,
right_hand_thumb_rota_link2,3.42623558556888E-05,0.02219346528376,-0.00361834238923307,0,0,0,0.00859380519573175,1.18838315827288E-06,-9.42179264026801E-10,2.10364876445495E-09,3.64633460036945E-07,-5.59178940210362E-08,1.1312383204633E-06,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_thumb_rota_link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_thumb_rota_link2.STL,,Z4-1,rt3,b3,right_hand_thumb_rota_joint2,revolute,0,0.0345,0,0,0,0,right_hand_thumb_rota_link1,1,0,0,0.302,1.98,0,1.571,,,0,0,,,,
right_hand_thumb_rotaback_link2,-3.26466309269885E-05,-0.0136068734039633,-0.0111115385290224,0,0,0,0.00116150221630922,1.56586241975836E-07,-2.45167052044341E-10,-1.97176391226822E-11,2.83366485821512E-08,8.32532677232798E-09,1.77426784640214E-07,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_thumb_rotaback_link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_thumb_rotaback_link2.STL,,Z5-1,rt4,b4,right_hand_thumb_rotaback_joint2,fixed,0,0.0374168958538642,-0.00450000000001719,0,0,0,right_hand_thumb_rota_link2,0,0,0,,,,,,,0,0,,,,
